id,source,text,label
80074aa43,news4vip,"まともに相手されてない人との関係なんて
そんな大事にするものか？",0
6378fea6b,livejupiter,最近はアヘアヘQSマンやない？ ｲｲ!(・∀・)+1-0(・Ａ・)ｲｸﾅｲ!,0
c535f5613,livejupiter,"日本人として生まれても無能な低学歴って分かったら日本人の権利剥奪して追放すべきやろ
甘えるな",1
e76638295,livejupiter,"よくよく思えば川上は配布にしたらとんでもなく有能だよな
ガチャから引いたら圧倒的歓喜レベルやで",0
51e4036bf,newsplus,"押井は原作レイプの専門家だから
原作マンガの真意を誤解させることに関してはプロだが
それ以外には何も取り柄がない",0
e44d502b0,newsplus,"マジレスすると野党に任せてドイツ化した場合、税金で難民を養うことになるね
生活保護どこらの話ではない
金の話をするなら視野を広くせんとなｗ",0
c4bc5079b,newsplus,"だから、『退治』なわけ。
殺されたとか、無実の人間みたいな言い方するな。
退治されただけだろうが。",0
b9ce9fb72,livejupiter,"ワイD、柳の明治大と京田の日大を応援する予定
両方シード圏内に来て欲しいなあ",0
4bfd81550,news4vip,キャラクターはこれといって有名なものはありません。なにか物事をとにかくキャラクターにするような感じです。イメージも人それぞれです。,0
f696409f8,news4vip,"都内の主要幹線道路の一角にいた百円で醤油の効いた海苔巻き餅を売ってくれたオジサン
あれは旨かった",0
67267344d,livejupiter,"女は精子がなくても
男は卵子がなくても産めるとはおもう現段階でも
倫理観が人間の進歩を疎外してるのかな",0
1cea0f9a0,newsplus,"付加機能がなにもない一番安い機種だね。
数字のボタン押して電話掛けるだけのヤツ。",0
b164471b9,news4vip,神様に愛を捧げる、人生で良い転機が訪れたのは大体私の中では神社や神道が絡んでくるとき,0
64f68573b,news4vip,キラ付けやってないのよ…,0
b58e19923,news4vip,"そうだけど予定あるとか気が乗らないとかって普通に断ればいいけど
今月は金が無いからって理由で断るのは引くわ
飲みとかなんにしても1万円以下の話だぞ",0
626cc771c,news4vip,"そういうあやふやなところが魅力だと私は思っています。
これうそだろ！とか、いやいやこれは本当のこと・・・なんてのをみんなで議論するのがすごく好きです。",0
ceb7990f7,news4vip,"プロとかじゃなくて連れ同士で女の子何人捕まえれるか競争したりしてたw
まあ世間で言うチャラ男なのかな",0
b673b5ed0,livejupiter,もちろんわかっとるで。でもホームラン打てなくても稼げるのは凄いと思わんか？,0
271ffe7da,news4vip,"韓国は辛いもの食べ過ぎ
消化器官系の癌発症率が半端ねーぞ",0
cdf75e9e5,newsplus,"その内ホウ酸団子でも無理になってたら笑えんなぁ
でもまだゴキブリホイホイがあるか",0
49bd87405,news4vip,"ファーストエイドってリアルに救急箱かよwww
コンパスポーチにでも忍ばしておくよ",0
27f970985,newsplus,生身のドス攻撃って言うと・・・ってあいつらそれもやりそうだよね,0
6b8c61421,livejupiter,"黒人なまりのラップ→うおおおおおおおおお
日本人のラップ→なんかヌメッとしてる(笑)",0
c203104f0,newsplus,"連中は法に従って動いてんだから、奴らのせいにするのはお門違いだろ
野放しにしたくなきゃ、そういう法律を作るしかない",0
653c87fa8,news4vip,"私フェミニストなのかなー。
そうは思ってなかったし、そういわれたこともなかった。",0
63d2593c3,news4vip,"彼らはネットを見てないのかね
声掛けが不快だって意見が多い事を知らないのか",0
e46e68798,news4vip,"だよね、javaの本読んでJSの本読んだら
一瞬文学系の本読んでるかと錯覚したもん
javaもやりたい",0
bc0bfeda7,livejupiter,"負けていいなんて思ってるスポーツ選手なんて大成するはずないのに、そう思いながらプロ名乗ってる選手の気がしれんよほんと

「たまたまサイコロの6の目が出た、やったー！」ってのをサッカー場使って地方都市ぐるみで大掛かりにやってるのがそんなに楽しいのかと",0
cf097e5b2,livejupiter,"まあA勝利でも嵐は落ちるしめげんことや
ワイもA勝利で落ちたし",0
d386e8056,news4vip,"桃かわからんが確かにフルーティーな香りするよねw
なんか虫コナーズに同じ香りのものがあるらしいが",0
85fc88d5c,news4vip,"いや、あくまで糸口やからね、車輪っぽいものから車輪が作れるということは人類が多少アイデアを足してるってことやろ？
つまり人類は自然界に存在するものとは違うものを作り出すことができる、だから量子コンピュータを作ることができる可能性は存在する",0
5d3c153be,news4vip,"本人調子狂うとよくないがおーぷんで今まで見た中でベストだわ。
240でまずビビった。",0
2334f5fa8,news4vip,"お粗末ブームが来たせいで
今まで無地パーカー好きで着てたのが着れなくなった
考え過ぎかね？",0
5edecaf71,newsplus,日本に都市爆撃やらかしたのは連合国ですからねぇ。,0
69d0d4458,livejupiter,"そら女には力はないし頭も男の方が優れてるからな
女には女の仕事があって、男には男の仕事がある

男に満足な育児はできへんからなその点で男は女に劣ってる",1
4aec9a2be,newsplus,くぅんくぅんくぅんくぅんが、耳から離れない((((；ﾟДﾟ))))))),0
974a53e5f,newsplus,"ひろゆき時代のFOX夜勤担当とかいうレスあったわ
FOXって好き勝手出来たイメージがある
まあ俺はおーぷんメインにするからいいけどw",0
dd4f70880,news4vip,"これはリアルでは年の離れた兄以外知らないことだからね。
しーだよ？",0
4e64423c0,livejupiter,"1万だったらピンサロぐらいしか行けんな
ピンサロでなら指命もできるだろう",0
737bf113e,news4vip,"子孫を残す為に若い女を求めるのは生き物として当然な気がする
一夫多妻制の国の男は総じて自分より年下の女を選んでるし",0
bd6ac8720,livejupiter,"広島ファンのほうが悪質だから
広島のユニフォーム着て応援するのはドイツでハーケンクロイツを堂々と掲げて町中を歩くこととなんも変わらんことや
そんな世界の常識すら理解出来てない広島ファンやで？
あんなゴミ以下と言うとかヘイトスピーチやぞ人権侵害やぞ",0
c8adb30da,news4vip,"とりあえず話会うときにボイスレコーダーを持っていかないとな。
ボイスレコーダーはアナログ式のほうが確実だぞ",0
9b9f79543,newsplus,アメリカザリガニに日本ザリガニが駆逐されてくようなもの,0
449cb772d,news4vip,でもプフが人間側に撒き散らしてた可能性あるよな,0
29d398bbb,news4vip,"そんなもんなのかな？
見学行った時はもう少し職員もいたって言うんだけどね",0
4a0485c57,news4vip,"／￣￣￣＼
Σ￣と（|ﾟヮﾟﾉいうほどきるるんってねこちゃんにだけ
￣￣￣￣￣￣デレてたっけ？むしろクロムクロさんとは一位タイか2番目くらいに絡んでたイメージだったんだけど",0
252ac74ca,newsplus,"北朝鮮による日本人拉致と平行して、在日朝鮮人の拉致も行われている。
日本から在日朝鮮人を拉致して工作員として訓練後、再び日本へ密入国させた事件はあるよ。
韓国政府も新潟日赤センタービルを爆破させようと工作員を密入国させたから、朝鮮人は等しく入国禁止が必要。",1
2ae0b16c6,newsplus,右と左って単語が全部イデオロギー挟んでるように見えるのならそろそろ病院行くほうが･･･,0
55119f544,news4vip,"うちはサザエさんみたいな家なんで…
何故か、親が俺を信用できなくて婿入りしてもらってる",0
c32c6dbb4,news4vip,というか女声って歌での話？それとも普通の会話とかで？,0
